# Tabulated drift velocities [mm/ns] are originally from "Greg's program"
#
# Temperature corrections for drift velocities:
#   use parameterization of Omar and Reggiani, Solid State Electronics, 30 (1987) 1351
#   (as also shown in I-Yang's drift_velocity.doc)
#   but with parameter values adopted by David Radford, Feb 2015
#
# Karin: Added interpolated points @ 160, 240 , 600 
#              extrapolated points @ 3500-5000 for drift vel
#
# E [V/cm]   e100    e110    e111       h100    h110    h111
      0      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
      50      0.0135      0.0135      0.0135      0.0189      0.0171      0.0162
      100      0.0243      0.0243      0.0243      0.0324      0.0297      0.0279
      160      0.0351      0.0342      0.0324      0.0423      0.0387      0.0360
      240      0.0459      0.0450      0.0396      0.0504      0.0459      0.0432
      300      0.0513      0.0504      0.0486      0.0540      0.0495      0.0473
      500      0.0666      0.0639      0.0585      0.0648      0.0585      0.0558
      600      0.0729      0.0693      0.0621      0.0693      0.0621      0.0585
      750      0.0801      0.0765      0.0657      0.0729      0.0657      0.0621
      1000      0.0909      0.0855      0.0702      0.0774      0.0693      0.0657
      1250      0.0981      0.0918      0.0743      0.0801      0.0720      0.0684
      1500      0.1044      0.0954      0.0774      0.0833      0.0738      0.0702
      1750      0.1071      0.0999      0.0783      0.0855      0.0756      0.0720
      2000      0.1098      0.1017      0.0792      0.0873      0.0774      0.0738
      2500      0.1125      0.1050      0.0819      0.0900      0.0792      0.0756
      3000      0.1148      0.1057      0.0833      0.0922      0.0819      0.0774
      3500      0.1155      0.1065      0.0835      0.0932      0.0837      0.0819
      4000      0.1159      0.1069      0.0837      0.0937      0.0851      0.0837
      4500      0.1162      0.1072      0.0839      0.0940      0.0864      0.0855
      5000      0.1164      0.1074      0.0840      0.0942      0.0873      0.0864

# temperature correction
# electrons; <mu_0 at T=1> (cm2/Vs), <mu_0(T) power>, B (cm/s), theta (K)
e  5.66e7  -1.680  1.3e7  200.0
# holes;     <mu_0 at T=1> (cm2/Vs), <mu_0(T) power>, B (cm/s), theta (K)
h  1.63e9  -2.398  1.2e7  200.0
