Detector ID,Dia,length,mass,Diameter - Final (mm),Length - Final (mm),Dia,length,mass,delta D,delta H,dimple offset,bevel height,
,Ortec measured,,,calculated,,starrett measured,,,calculated - starrett,,,,
P42537A,68.1,52.7,1043.6,67.9,52.5,67.8229,52.5381,1044.4,-0.0771,0.0381,,,0.80
P42538A,70,49.8,1037.9,69.8,49.7,69.6,49.5,1038.5,-0.2000,-0.2000,,,0.60
P42538B,69.8,49.3,1025.2,69.6,49.1,69.6,48.9,1026,0.0000,-0.2000,,,0.80
P42573A,71.7,47.6,1051.7,71.7,47.5,71.4,47.7,1052.2,-0.3000,0.2000,,,0.50
P42573B,68.9,52.8,1067.8,68.7,52.6,68.5,52.6,1068.4,-0.2000,0.0000,,,0.60
P42574A,67.8,39.4,764,67.5,39.2,67.5971,39.2726,764.3,0.0971,0.0726,,,0.30
P42574B,68,39.5,778.9,67.9,39.4,68.0399,39.4209,779.3,0.1399,0.0209,,,0.40
P42574C,68,41.2,802.8,67.8,41.1,67.8509,40.83,803.1,0.0509,-0.2700,,,0.30
P42575A,69.5,51.2,1055.4,69.3,51,69.4,50.8356,1055.9,0.1000,-0.1644,,,0.50
P42575B,65.2,44.6,796,64.9,44.4,64.7,44.36,801.2,-0.2000,-0.0400,,,5.20
P23517A,63.2,31.1,521.1,63,31,,,,,,,,
P42661A,69.4,34.2,693.7,69.1,34,69.2,34.1,694.1,0.1000,0.1000,,,0.40
P42661B,72,34.3,749.8,71.7,34.2,71.8,34.2,750.2,0.1000,0.0000,,,0.40
P42661C,70.9,42.1,897.7,70.7,42,70.82,41.5,898.2,0.1200,-0.5000,,,0.50
P42662A,61.4,39.8,633.7,61.2,39.7,61.1626,39.6663,634,-0.0374,-0.0337,,,0.30
P42662B,61.1,39.8,625.7,60.8,39.6,60.9092,39.6064,626.1,0.1092,0.0064,,,0.40
P42662C,60.3,48.4,749.2,60.1,48.2,60.1917,48.1972,749.7,0.0917,-0.0028,,,0.50
P42664A,65.5,44.3,809.3,65.3,44.2,65.334,44.26,809.9,0.0340,0.0600,,,0.60
P42665A,70.4,34.3,717.5,70.1,34.2,70.166,33.9896,718,0.0660,-0.2104,,,0.50
P42665B,66.5,34.7,648.8,66.2,34.5,66.4,34.6,649.2,0.2000,0.1000,,,0.40
P42665C,65.1,47.8,858,64.8,47.6,64.8161,47.5782,858.6,0.0161,-0.0218,,,0.60
P42698A,69.4,47.8,962,69.1,47.6,68.5,47.4,962.7,-0.6000,-0.2000,,,0.70
P42698B,65.5,31,562,65.1,30.8,65.3,31,562.4,0.2000,0.2000,,,0.40
P42712B,68,53.9,1048.5,67.8,53.7,67.7661,53.6264,1049.3,-0.0339,-0.0736,,,0.80
P42664B,60.4,43.6,629.8,60.2,43.6,60.3881,43.6032,630.3,0.1881,0.0032,,,0.5
P42712A,64.1,50,863,63.9,49.8,,,,,,,,
P42748A,66.8,52.6,1002.1,,,66.5953,52.4055,1002.8,-0.2047,-0.1945,,,0.70
P42748B,66.1,52.6,979.3,,,65.6125,52.4348,980,-0.4875,-0.1652,,,0.70
P42749A,64,54.1,942.7,,,63.5847,53.7451,943.4,-0.4153,-0.3549,,,0.70
P42749B,64,52.7,922,,,63.7958,52.5703,922.4,-0.2042,-0.1297,,,0.40
