# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 23172 44182 13819 35082
-9.634673076732167551e-01 -1.000000000000000053e+300 8.020335870775394671e-01 17894 41635 16952 49689
-2.008863584001291169e+00 -2.296382609279800653e+08 4.673939757935700046e-01 19061 39627 17525 50855
-3.048650862735550859e+00 -1.585935115415175259e+08 9.495479476640142913e-01 17147 36611 19616 48404
-3.989012390816711662e+00 -1.250874258380461335e+08 9.871094676268394874e-01 17979 39210 17733 53005
-5.047425363060224157e+00 -9.462698963547836244e+07 8.321894792373356609e-01 17368 38211 22657 50255
-5.917787277110338806e+00 -7.054378697831697762e+07 9.132268292827399048e-01 19315 42337 14979 59239
-7.145752756675632256e+00 -3.145206158967147022e+07 6.697932261244967656e-01 16070 35132 16994 44339
-8.121619555512348043e+00 -1.771973368687911332e+07 8.367227888865569341e-02 16320 35795 21046 46993
-8.999446845736637002e+00 -1.142665487912397832e+07 5.907480430028622109e-01 18009 40407 21664 55656
-9.963075456005700659e+00 -7.785575994600074366e+06 3.468744044507804936e-01 18542 42137 19159 57996
-1.103137401481742508e+01 -5.428161778270026669e+06 8.475452752808171342e-01 17574 41029 22185 54497
-1.196610839574854168e+01 -4.185963811879655812e+06 7.296250191172282129e-01 18004 43485 23833 59882
-1.291391423216518852e+01 -3.327671166585467290e+06 8.067417451603832446e-02 19055 46006 25987 63986
-1.384663268227872734e+01 -2.675506821282426827e+06 9.823753862298562067e-01 18752 46768 23170 1457
-1.488815006753462988e+01 -2.151714855335087515e+06 4.339001669596352917e-01 18330 46633 23513 63983
-1.588886199253624731e+01 -1.767862305144688580e+06 3.148943100007570717e-01 18526 48228 23095 530
-1.692309203123834394e+01 -1.452264233617623104e+06 7.880218298289080048e-01 18511 48960 25334 716
-1.789674508172938161e+01 -1.221927651551533258e+06 1.610067695595364945e-01 19447 52159 27298 6254
