# level_assignment log_likelihood tiebreaker ID
0 -1.000000000000000053e+300 3.314159713424450482e-01 0
0 -1.901760713514537513e+08 6.971727991299888627e-01 0
0 -2.238038957420570254e+08 7.115845235137960856e-01 2
0 -1.000000000000000053e+300 5.087814138252486629e-01 4
0 -1.000000000000000053e+300 7.086585649657549668e-01 4
0 -1.711440037310122848e+08 2.388527591130604755e-01 3
0 -1.000000000000000053e+300 8.930755613845863250e-01 2
0 -1.000000000000000053e+300 2.112227866336874593e-01 4
0 -1.000000000000000053e+300 5.693954503254460286e-01 2
1 -3.037409806761904359e+08 1.991540793910993035e-01 0
1 -1.735247860180160999e+08 2.097606366173873638e-01 0
1 -2.366496372058923841e+08 3.107600684258969848e-01 0
1 -1.000000000000000053e+300 9.395957636645113631e-01 3
0 -3.054318937371036410e+08 1.703449190258582713e-01 3
0 -2.088394365570255220e+08 9.603121869213120387e-01 3
0 -1.000000000000000053e+300 5.427532962375355430e-01 4
1 -2.283291080511606932e+08 9.423205637598986995e-01 2
1 -1.000000000000000053e+300 8.939948417118623869e-01 1
1 -2.351739542685371399e+09 1.549417596465389180e-01 1
0 -1.000000000000000053e+300 9.980785196894229605e-01 3
1 -1.000000000000000053e+300 8.728356255878226833e-01 2
2 -2.160878121734252274e+08 4.354385868519958791e-01 0
0 -1.000000000000000053e+300 3.020854934743313902e-01 2
1 -1.000000000000000053e+300 8.524574586586632918e-01 1
2 -1.811016915505139828e+08 1.695730761036983447e-01 2
1 -2.085048167625333309e+09 6.346088404913907688e-01 2
0 -1.000000000000000053e+300 9.117488795798235346e-01 2
0 -1.000000000000000053e+300 4.050628252251195494e-01 1
0 -1.000000000000000053e+300 6.277286888391137021e-01 1
2 -2.050609965359243453e+08 9.755115703960992590e-01 1
0 -1.000000000000000053e+300 8.626245338011896413e-01 3
1 -1.000000000000000053e+300 8.243563939846417776e-01 2
2 -1.495186415797811151e+08 4.726850461425877725e-01 1
2 -1.932160075584560335e+08 3.201752001000702230e-01 4
3 -1.420449308289060891e+08 9.595706583034058212e-02 0
3 -1.488519267002289891e+08 3.627745157325908409e-01 1
1 -1.561873230788730085e+08 6.641134687102621115e-01 3
2 -2.106675032776525915e+08 3.585364732519025210e-01 4
2 -1.415731966326281428e+08 5.936786858366114306e-01 2
3 -1.542828760548968017e+08 7.521593461351147036e-01 3
3 -1.421693484120507240e+08 1.087956338152409330e-01 1
3 -1.363770460779545009e+08 7.574672297423192813e-01 0
0 -1.000000000000000053e+300 4.372598783575347148e-01 2
1 -2.425204258510511518e+08 5.179702441070213048e-01 2
0 -7.154329247521958351e+08 7.515478822989813956e-01 4
1 -2.386811028923731148e+08 9.930685056722950987e-01 1
1 -9.933241191940910339e+09 7.115024984847643230e-01 1
3 -1.456592854666693807e+08 9.856608956677845867e-01 3
2 -1.498042692946124971e+08 1.071396850753512098e-01 4
2 -2.157896670980942845e+08 7.163931035061921193e-01 4
1 -1.000000000000000053e+300 9.386443721794398565e-01 3
4 -1.010138301943071634e+08 7.361663151458430754e-02 2
4 -1.157376431464289278e+08 2.512042232396112240e-01 3
0 -1.000000000000000053e+300 9.699530773399277495e-01 0
3 -3.967896765101613104e+07 1.735288905191856301e-01 1
0 -1.000000000000000053e+300 8.987832801611048694e-01 0
3 -1.554127369954213500e+08 4.558458994528429287e-01 1
4 -1.029768783254532218e+08 8.345364784519954116e-01 4
0 -1.000000000000000053e+300 6.674024192534702138e-01 4
4 -1.031352939769420624e+08 8.133919724565800147e-01 2
2 -1.191636238815318048e+08 5.719771884621938085e-02 1
3 -1.384523016393488348e+08 1.805266709314061746e-01 3
3 -1.091967326023333520e+08 2.787361896571050046e-02 4
5 -8.872060045828334987e+07 4.815973393400088121e-01 1
4 -1.182120832889500260e+08 3.701619997371620174e-01 4
4 -9.636643768671186268e+07 2.276985990902475887e-01 2
3 -1.275460606732493043e+08 3.110662811321984744e-01 1
2 -1.753065786532118618e+08 6.203121639619297856e-01 1
5 -9.394900575453293324e+07 8.291917468382231649e-01 2
4 -8.414895123924732208e+07 4.823247839585289576e-01 2
3 -1.030485805940096676e+08 8.658841823269538551e-01 4
2 -2.223775145644291639e+08 1.041542381855740662e-01 0
0 -1.000000000000000053e+300 9.897322192559477871e-01 0
1 -2.548245311209187210e+08 4.508791788612247498e-01 4
3 -1.005455034478043467e+08 2.579434054762437256e-01 0
2 -2.135000607448606491e+08 3.570574576540167661e-02 2
5 -7.327280322469110787e+07 1.807956736425873623e-01 4
6 -6.557436667945570499e+07 5.523690964652693269e-01 1
6 -3.961582305215483159e+07 5.426314955664535145e-01 0
4 -1.664243813477834687e+07 2.765740877123654684e-01 2
